"Biomi %Alta","Biomi %Bassa","Fazioni","Grado Sfida","Link 5et","Nome","Tag","Tipo","Descrizione"
"","","","","","","Interessante","",""
"Bene","","Angeli","21.0","https://5e.tools/bestiary.html#solar_mm","Solar","Angelo","Celestiale",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#pegasus_mm","Pegaso","Non Violento","Celestiale",""
"Prateria","","","","","","","",""
"Collina","","","","","","","",""
"Bene","","","","","","","",""
"","","","","","","Interessante","",""
"Deserto","","","4.0","https://5e.tools/bestiary.html#couatl_mm","Couatl","Non Violento","Celestiale",""
"Foresta","","","","","","","",""
"Prateria","","","","","","","",""
"Bene","","","","","","","",""
"","","","","","","Interessante","",""
"Foresta","","","5.0","https://5e.tools/bestiary.html#unicorn_mm","Unicorn","Non Violento","Celestiale",""
"Bene","","","","","","","",""
"","","","","","","Interessante","",""
"Deserto","","","12.0","https://5e.tools/bestiary.html#ki-rin_vgm","Ki-rin","Non Violento","Celestiale",""
"Prateria","","","","","","","",""
"Montagna","","","","","","","",""
"Coste","","","","","","","",""
"Bene","","","","","","","",""
"","","","","","","Interessante","",""
"Bene","","","23.0","https://5e.tools/bestiary.html#empyrean_mm","Empireo","Non Violento","Celestiale",""
"","","","","","","Interessante","",""
"Dungeon","Cimitero","","5.0","https://5e.tools/bestiary.html#flesh%20golem_mm","Golem di Carne","Golem","Costrutto",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Dungeon","","","9.0","https://5e.tools/bestiary.html#clay%20golem_mm","Golem di Argilla","Golem","Costrutto",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Dungeon","Deserto","","10.0","https://5e.tools/bestiary.html#stone%20golem_mm","Golem Di Pietra","Golem","Costrutto",""
"","Montagna","","","","","","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Dungeon","","","16.0","https://5e.tools/bestiary.html#iron%20golem_mm","Golem Di Ferro","Golem","Costrutto",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Mechanus","","Monodroni","0.125","https://5e.tools/bestiary.html#monodrone_mm","Monodrone","Mechanus","Costrutto",""
"","","","","","","Sociale","",""
"Mechanus","","Monodroni","0.25","https://5e.tools/bestiary.html#duodrone_mm","Duodrone","Mechanus","Costrutto",""
"","","","","","","Sociale","",""
"Mechanus","","Monodroni","0.5","https://5e.tools/bestiary.html#tridrone_mm","Tridrone","Mechanus","Costrutto",""
"","","","","","","Sociale","",""
"Mechanus","","Monodroni","1.0","https://5e.tools/bestiary.html#quadrone_mm","Quadrone","Mechanus","Costrutto",""
"","","","","","","Sociale","",""
"Mechanus","","Monodroni","2.0","https://5e.tools/bestiary.html#pentadrone_mm","Pentadrone","Mechanus","Costrutto",""
"","","","","","","Sociale","",""
"Mechanus","","","25.0","https://5e.tools/bestiary.html#marut_mtf","Marut","Mechanus","Costrutto",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"","","","0.0","https://5e.tools/bestiary.html#homunculus_mm","Homunculus","Non Violento","Costrutto",""
"","","","","","","Interessante","",""
"Dungeon","","","0.25","https://5e.tools/bestiary.html#flying%20sword_mm","Spada Volante","Non Violento","Costrutto",""
"","","Gnomi","1.0","https://5e.tools/bestiary.html#clockwork%20bronze%20scout_mpmm","Clockwork Bronze Scout","Servitore","Costrutto",""
"","","","","","","Gnomo","",""
"","","","","","","Clockwork","",""
"","","","1.0","https://5e.tools/bestiary.html#stone%20cursed_mtf","Stone Cursed","Sconosciuto","Costrutto",""
"Dungeon","","","1.0","https://5e.tools/bestiary.html#animated%20armor_mm","Armatura Animata","Non Violento","Costrutto",""
"Prateria","","","1.0","https://5e.tools/bestiary.html#scarecrow_mm","Spaventapasseri","Non Violento","Costrutto",""
"Collina","","","","","","","",""
"","","","2.0","https://5e.tools/bestiary.html#rug%20of%20smothering_mm","Tappeto Soffocante","Non Violento","Costrutto",""
"Dungeon","","","4.0","https://5e.tools/bestiary.html#helmed%20horror_mm","Orrore Corazzato","Non Violento","Costrutto",""
"","","","","","","Sconosciuto","",""
"","","Gnomi","4.0","https://5e.tools/bestiary.html#clockwork%20iron%20cobra_mpmm","Clockwork Iron Cobra","Servitore","Costrutto",""
"","","","","","","Gnomo","",""
"","","","","","","Clockwork","",""
"","","Gnomi","4.0","https://5e.tools/bestiary.html#clockwork%20stone%20defender_mpmm","Clockwork Stone Defender","Servitore","Costrutto",""
"","","","","","","Gnomo","",""
"","","","","","","Clockwork","",""
"","","Gnomi","5.0","https://5e.tools/bestiary.html#clockwork%20oaken%20bolter_mpmm","Clockwork Oaken Bolter","Servitore","Costrutto",""
"","","","","","","Gnomo","",""
"","","","","","","Clockwork","",""
"Dungeon","","","7.0","https://5e.tools/bestiary.html#shield%20guardian_mm","Guardiano Protettore","Non Violento","Costrutto",""
"","","","","","","Interessante","",""
"","","","14.0","https://5e.tools/bestiary.html#cadaver%20collector_mtf","Cadaver Collector","Sconosciuto","Costrutto",""
"","","","14.0","https://5e.tools/bestiary.html#retriever_mtf","Retriever","Sconosciuto","Costrutto",""
"","","Steeder","16.0","https://5e.tools/bestiary.html#steel%20predator_mtf","Steel Predator","Sconosciuto","Costrutto",""
"Deserto","","","0.25","https://5e.tools/bestiary.html#pseudodragon_mm","Pseudodrago","Non Violento","Drago",""
"Foresta","","","","","","","",""
"Collina","","","","","","","",""
"Montagna","","","","","","","",""
"Coste","","","","","","","",""
"Collina","","","6.0","https://5e.tools/bestiary.html#wyvern_mm","Viverna","Endemico","Drago",""
"Montagna","","","","","","","",""
"","","","","","","Interessante","",""
"Montagna","","Draghi Cromatici","13.0","https://5e.tools/bestiary.html#young%20red%20shadow%20dragon_mm","Drago d'Ombra Rosso Giovane","Drago Cromatico","Drago",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Giovane","",""
"","","","","","","Rosso","",""
"","","","","","","Ombra","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Acquatico","","","17.0","https://5e.tools/bestiary.html#dragon%20turtle_mm","Testuggine Dragona","Boss","Drago",""
"","","","","","","Interessante","",""
"Artico","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#white%20dragon%20wyrmling_mm","Drago Bianco Cucciolo","Drago Cromatico","Drago",""
"","","","","","","Cucciolo","",""
"","","","","","","Bianco","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Artico","","Draghi Cromatici","6.0","https://5e.tools/bestiary.html#young%20white%20dragon_mm","Drago Bianco Giovane","Drago Cromatico","Drago",""
"","","","","","","Giovane","",""
"","","","","","","Bianco","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Artico","","Draghi Cromatici","13.0","https://5e.tools/bestiary.html#adult%20white%20dragon_mm","Drago Bianco Adulto","Drago Cromatico","Drago",""
"","","","","","","Adulto","",""
"","","","","","","Bianco","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Artico","","Draghi Cromatici","20.0","https://5e.tools/bestiary.html#ancient%20white%20dragon_mm","Drago Bianco Antico","Drago Cromatico","Drago",""
"","","","","","","Antico","",""
"","","","","","","Bianco","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Artico","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#white%20guard%20drake_vgm","Draco Guardia Bianca","Drago Cromatico","Drago",""
"","","","","","","Bianco","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#blue%20guard%20drake_vgm","Draco Guardia Blu","Drago Cromatico","Drago",""
"Coste","","","","","","","",""
"","","","","","","Blu","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Cromatici","3.0","https://5e.tools/bestiary.html#blue%20dragon%20wyrmling_mm","Drago Blu Cucciolo","Drago Cromatico","Drago",""
"Coste","","","","","","","",""
"","","","","","","Cucciolo","",""
"","","","","","","Blu","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Cromatici","9.0","https://5e.tools/bestiary.html#young%20blue%20dragon_mm","Drago Blu Giovane","Drago Cromatico","Drago",""
"Coste","","","","","","","",""
"","","","","","","Giovane","",""
"","","","","","","Blu","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Cromatici","16.0","https://5e.tools/bestiary.html#adult%20blue%20dragon_mm","Drago Blu Adulto","Drago Cromatico","Drago",""
"Coste","","","","","","","",""
"","","","","","","Adulto","",""
"","","","","","","Blu","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Cromatici","23.0","https://5e.tools/bestiary.html#ancient%20blue%20dragon_mm","Drago Blu Antico","Drago Cromatico","Drago",""
"Coste","","","","","","","",""
"","","","","","","Antico","",""
"","","","","","","Blu","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Palude","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#black%20dragon%20wyrmling_mm","Drago Nero Cucciolo","Drago Cromatico","Drago",""
"","","","","","","Cucciolo","",""
"","","","","","","Nero","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Palude","","Draghi Cromatici","7.0","https://5e.tools/bestiary.html#young%20black%20dragon_mm","Drago Nero Giovane","Drago Cromatico","Drago",""
"","","","","","","Giovane","",""
"","","","","","","Nero","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Palude","","Draghi Cromatici","14.0","https://5e.tools/bestiary.html#adult%20black%20dragon_mm","Drago Nero Adulto","Drago Cromatico","Drago",""
"","","","","","","Adulto","",""
"","","","","","","Nero","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Palude","","Draghi Cromatici","21.0","https://5e.tools/bestiary.html#ancient%20black%20dragon_mm","Drago Nero Antico","Drago Cromatico","Drago",""
"","","","","","","Antico","",""
"","","","","","","Nero","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Palude","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#black%20guard%20drake_vgm","Draco Guardia Nera","Drago Cromatico","Drago",""
"","","","","","","Nero","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#red%20guard%20drake_vgm","Draco Guardia Rossa","Drago Cromatico","Drago",""
"Montagna","","","","","","","",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Cromatici","4.0","https://5e.tools/bestiary.html#red%20dragon%20wyrmling_mm","Drago Rosso Cucciolo","Drago Cromatico","Drago",""
"Montagna","","","","","","","",""
"","","","","","","Cucciolo","",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Cromatici","10.0","https://5e.tools/bestiary.html#young%20red%20dragon_mm","Drago Rosso Giovane","Drago Cromatico","Drago",""
"Montagna","","","","","","","",""
"","","","","","","Giovane","",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Cromatici","17.0","https://5e.tools/bestiary.html#adult%20red%20dragon_mm","Drago Rosso Adulto","Drago Cromatico","Drago",""
"Montagna","","","","","","","",""
"","","","","","","Adulto","",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Cromatici","24.0","https://5e.tools/bestiary.html#ancient%20red%20dragon_mm","Drago Rosso Antico","Drago Cromatico","Drago",""
"Montagna","","","","","","","",""
"","","","","","","Antico","",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#green%20guard%20drake_vgm","Draco Guardia Verde","Drago Cromatico","Drago",""
"Urbano","","","","","","","",""
"","","","","","","Verde","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Foresta","","Draghi Cromatici","2.0","https://5e.tools/bestiary.html#green%20dragon%20wyrmling_mm","Drago Verde Cucciolo","Drago Cromatico","Drago",""
"","","","","","","Cucciolo","",""
"","","","","","","Verde","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Cromatici","8.0","https://5e.tools/bestiary.html#young%20green%20dragon_mm","Drago Verde Giovane","Drago Cromatico","Drago",""
"","","","","","","Giovane","",""
"","","","","","","Verde","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Cromatici","15.0","https://5e.tools/bestiary.html#adult%20green%20dragon_mm","Drago Verde Adulto","Drago Cromatico","Drago",""
"","","","","","","Adulto","",""
"","","","","","","Verde","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Cromatici","22.0","https://5e.tools/bestiary.html#ancient%20green%20dragon_mm","Drago Verde Antico","Drago Cromatico","Drago",""
"","","","","","","Antico","",""
"","","","","","","Verde","",""
"","","","","","","Sociale","",""
"","","","","","","Interessante","",""
"Foresta","","","1.0","https://5e.tools/bestiary.html#faerie%20dragon%20(orange)_mm","Drago Fatato Arancione","Fatato","Drago",""
"","","","","","","Drago Fatato","",""
"","","","","","","Arancione","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#faerie%20dragon%20(blue)_mm","Drago Fatato Blu","Fatato","Drago",""
"","","","","","","Drago Fatato","",""
"","","","","","","Blu","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#faerie%20dragon%20(yellow)_mm","Drago Fatato Giallo","Fatato","Drago",""
"","","","","","","Drago Fatato","",""
"","","","","","","Giallo","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","","1.0","https://5e.tools/bestiary.html#faerie%20dragon%20(indigo)_mm","Drago Fatato Indaco","Fatato","Drago",""
"","","","","","","Drago Fatato","",""
"","","","","","","Indaco","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","","1.0","https://5e.tools/bestiary.html#faerie%20dragon%20(red)_mm","Drago Fatato Rosso","Fatato","Drago",""
"","","","","","","Drago Fatato","",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#faerie%20dragon%20(green)_mm","Drago Fatato Verde","Fatato","Drago",""
"","","","","","","Drago Fatato","",""
"","","","","","","Verde","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","","2.0","https://5e.tools/bestiary.html#faerie%20dragon%20(violet)_mm","Drago Fatato Viola","Fatato","Drago",""
"","","","","","","Drago Fatato","",""
"","","","","","","Viola","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Artico","","","2.0","https://5e.tools/bestiary.html#white%20guard%20drake_vgm","Drago Guardia Bianco","Drago Guardia","Drago",""
"Urbano","","","","","","","",""
"","","","","","","Bianco","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Deserto","","","2.0","https://5e.tools/bestiary.html#blue%20guard%20drake_vgm","Drago Guardia Blu","Drago Guardia","Drago",""
"Urbano","","","","","","","",""
"","","","","","","Blu","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Palude","","","2.0","https://5e.tools/bestiary.html#black%20guard%20drake_vgm","Drago Guardia Nero","Drago Guardia","Drago",""
"Urbano","","","","","","","",""
"","","","","","","Nero","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Montagna","","","2.0","https://5e.tools/bestiary.html#red%20guard%20drake_vgm","Drago Guardia Rosso","Drago Guardia","Drago",""
"Underdark","","","","","","","",""
"Urbano","","","","","","","",""
"","","","","","","Rosso","",""
"","","","","","","Sociale","",""
"","","","","","","Sconosciuto","",""
"Montagna","","Draghi Metallici","2.0","https://5e.tools/bestiary.html#silver%20dragon%20wyrmling_mm","Drago d'Argento Cucciolo","Drago metallico","Drago",""
"","","","","","","Cucciolo","",""
"","","","","","","Argento","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Montagna","","Draghi Metallici","9.0","https://5e.tools/bestiary.html#young%20silver%20dragon_mm","Drago d'Argento Giovane","Drago metallico","Drago",""
"","","","","","","Giovane","",""
"","","","","","","Argento","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Montagna","","Draghi Metallici","16.0","https://5e.tools/bestiary.html#adult%20silver%20dragon_mm","Drago d'Argento Adulto","Drago metallico","Drago",""
"","","","","","","Adulto","",""
"","","","","","","Argento","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Montagna","","Draghi Metallici","23.0","https://5e.tools/bestiary.html#ancient%20silver%20dragon_mm","Drago d'Argento Antico","Drago metallico","Drago",""
"","","","","","","Antico","",""
"","","","","","","Argento","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Coste","","Draghi Metallici","2.0","https://5e.tools/bestiary.html#bronze%20dragon%20wyrmling_mm","Drago di Bronzo Cucciolo","Drago metallico","Drago",""
"","","","","","","Cucciolo","",""
"","","","","","","Bronzo","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Coste","","Draghi Metallici","8.0","https://5e.tools/bestiary.html#young%20bronze%20dragon_mm","Drago di Bronzo Giovane","Drago metallico","Drago",""
"","","","","","","Giovane","",""
"","","","","","","Bronzo","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Coste","","Draghi Metallici","15.0","https://5e.tools/bestiary.html#adult%20bronze%20dragon_mm","Drago di Bronzo Adulto","Drago metallico","Drago",""
"","","","","","","Adulto","",""
"","","","","","","Bronzo","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Coste","","Draghi Metallici","22.0","https://5e.tools/bestiary.html#ancient%20bronze%20dragon_mm","Drago di Bronzo Antico","Drago metallico","Drago",""
"","","","","","","Antico","",""
"","","","","","","Bronzo","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Metallici","3.0","https://5e.tools/bestiary.html#gold%20dragon%20wyrmling_mm","Drago d'Oro Cucciolo","Drago Metallico","Drago",""
"Prateria","","","","","","","",""
"","","","","","","Cucciolo","",""
"","","","","","","Oro","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Metallici","10.0","https://5e.tools/bestiary.html#young%20gold%20dragon_mm","Drago d'Oro Giovane","Drago Metallico","Drago",""
"Prateria","","","","","","","",""
"","","","","","","Giovane","",""
"","","","","","","Oro","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Metallici","17.0","https://5e.tools/bestiary.html#adult%20gold%20dragon_mm","Drago d'Oro Adulto","Drago Metallico","Drago",""
"Prateria","","","","","","","",""
"","","","","","","Adulto","",""
"","","","","","","Oro","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Foresta","","Draghi Metallici","24.0","https://5e.tools/bestiary.html#ancient%20gold%20dragon_mm","Drago d'Oro Antico","Drago Metallico","Drago",""
"Prateria","","","","","","","",""
"","","","","","","Antico","",""
"","","","","","","Oro","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Metallici","1.0","https://5e.tools/bestiary.html#brass%20dragon%20wyrmling_mm","Drago d'Ottone Cucciolo","Drago Metallico","Drago",""
"","","","","","","Cucciolo","",""
"","","","","","","Ottone","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Metallici","6.0","https://5e.tools/bestiary.html#young%20brass%20dragon_mm","Drago d'Ottone Giovane","Drago Metallico","Drago",""
"","","","","","","Giovane","",""
"","","","","","","Ottone","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Metallici","13.0","https://5e.tools/bestiary.html#adult%20brass%20dragon_mm","Drago d'Ottone Adulto","Drago Metallico","Drago",""
"","","","","","","Adulto","",""
"","","","","","","Ottone","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Deserto","","Draghi Metallici","20.0","https://5e.tools/bestiary.html#ancient%20brass%20dragon_mm","Drago d'Ottone Antico","Drago Metallico","Drago",""
"","","","","","","Antico","",""
"","","","","","","Ottone","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Metallici","1.0","https://5e.tools/bestiary.html#copper%20dragon%20wyrmling_mm","Drago di Rame Cucciolo","Drago Metallico","Drago",""
"","","","","","","Cucciolo","",""
"","","","","","","Rame","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Metallici","7.0","https://5e.tools/bestiary.html#young%20copper%20dragon_mm","Drago di Rame Giovane","Drago Metallico","Drago",""
"","","","","","","Giovane","",""
"","","","","","","Rame","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Metallici","14.0","https://5e.tools/bestiary.html#adult%20copper%20dragon_mm","Drago di Rame Adulto","Drago Metallico","Drago",""
"","","","","","","Adulto","",""
"","","","","","","Rame","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Collina","","Draghi Metallici","21.0","https://5e.tools/bestiary.html#ancient%20copper%20dragon_mm","Drago di Rame Antico","Drago Metallico","Drago",""
"","","","","","","Antico","",""
"","","","","","","Rame","",""
"","","","","","","Sociale","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Deserto","","","0.5","https://5e.tools/bestiary.html#smoke%20mephit_mm","Mephit del Fumo ","Endemico","Elementale",""
"Palude","","","","","","","",""
"Aria","","","","","","","",""
"Fuoco","","","","","","","",""
"","","","","","","Mephit","",""
"Montagna","","","0.5","https://5e.tools/bestiary.html#magma%20mephit_mm","Mephit del Magma","Endemico","Elementale",""
"Fuoco","","","","","","","",""
"Terra","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Mephit","",""
"Deserto","","","0.5","https://5e.tools/bestiary.html#steam%20mephit_mm","Mephit del Vapore","Endemico","Elementale",""
"Prateria","","","","","","","",""
"Acqua","","","","","","","",""
"Fuoco","","","","","","","",""
"","","","","","","Mephit","",""
"Palude","","","0.5","https://5e.tools/bestiary.html#mud%20mephit_mm","Mephit del Fango","Endemico","Elementale",""
"Acqua","","","","","","","",""
"Terra","","","","","","","",""
"","","","","","","Mephit","",""
"Artico","","","0.5","https://5e.tools/bestiary.html#ice%20mephit_mm","Mephit del Ghiaccio ","Endemico","Elementale",""
"Acqua","","","","","","","",""
"Aria","","","","","","","",""
"","","","","","","Mephit","",""
"Deserto","","","0.5","https://5e.tools/bestiary.html#dust%20mephit_mm","Mephit della Polvere","Endemico","Elementale",""
"Prateria","","","","","","","",""
"Aria","","","","","","","",""
"Terra","","","","","","","",""
"","","","","","","Mephit","",""
"Coste","","Acqua","5.0","https://5e.tools/bestiary.html#water%20elemental_mm","Elementare dell'Acqua","Acqua","Elementale",""
"Acqua","","","","","","","",""
"A Dolce","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Coste","","Acqua","11.0","https://5e.tools/bestiary.html#marid_mm","Marid","Acqua","Elementale",""
"Acqua","","","","","","","",""
"A Dolce","","","","","","","",""
"","","","","","","Genio","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Coste","","Acqua","3.0","https://5e.tools/bestiary.html#water%20weird_mm","Fatale dell'acqua","Acqua","Elementale",""
"Acqua","","","","","","","",""
"A Dolce","","","","","","","",""
"Underdark","","","","","","","",""
"Dungeon","","","","","","","",""
"","","","","","","Non Violento","",""
"Artico","","","9.0","https://5e.tools/bestiary.html#frost%20salamander_mtf","Frost Salamander","Ghiaccio","Elementale",""
"","","","","","","Servitore","",""
"Acqua","","Acqua","10.0","https://5e.tools/bestiary.html#water%20elemental%20myrmidon_mtf","Elemental Myrmidon, Water","Acqua","Elementale",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Coste","A Dolce","Acqua","11.0","https://5e.tools/bestiary.html#morkoth_vgm","Morkoth","Acqua","Elementale",""
"Astrale","","","","","","","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Acqua","","Acqua","20.0","https://5e.tools/bestiary.html#leviathan_mtf","Leviathan","Acqua","Elementale",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Artico","","Aria","5.0","https://5e.tools/bestiary.html#air%20elemental_mm","Elementare dell'Aria","Aria","Elementale",""
"Deserto","","","","","","","",""
"Montagna","","","","","","","",""
"Coste","","","","","","","",""
"Aria","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Artico","","Aria","11.0","https://5e.tools/bestiary.html#djinni_mm","Djinni","Aria","Elementale",""
"Deserto","","","","","","","",""
"Montagna","","","","","","","",""
"Coste","","","","","","","",""
"Aria","","","","","","","",""
"","","","","","","Genio","",""
"","","","","","","Sociale","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Deserto","Artico","Aria","6.0","https://5e.tools/bestiary.html#invisible%20stalker_mm","Cacciatore Invisibile","Aria","Elementale",""
"Coste","","","","","","","",""
"Aria","","","","","","","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Aria","","Aria","7.0","https://5e.tools/bestiary.html#air%20elemental%20myrmidon_mtf","Elemental Myrmidon, Air","Aria","Elementale",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Aria","","Aria","23.0","https://5e.tools/bestiary.html#elder%20tempest_mtf","Elder Tempest","Aria","Elementale",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Deserto","","Fuoco","5.0","https://5e.tools/bestiary.html#fire%20elemental_mm","Elementale del Fuoco","Fuoco","Elementale",""
"Montagna","","","","","","","",""
"Fuoco","","","","","","","",""
"Vulcano","","","","","","","",""
"","","","","","","Endemico","",""
"","","","","","","Interessante","",""
"Fuoco","","","16.0","https://5e.tools/bestiary.html#phoenix_mtf","Phoenix","Fuoco","Elementale",""
"","","","","","","Endemico","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
"Montagna","","Fuoco","2.0","https://5e.tools/bestiary.html#azer_mm","Azer","Sociale","Elementale",""
"Fuoco","","","","","","","",""
"Vulcano","","","","","","","",""
"","","","","","","Fuoco","",""
"","","","","","","Non Violento","",""
"","","","","","","Interessante","",""
"Deserto","","Fuoco","11.0","https://5e.tools/bestiary.html#efreeti_mm","Efreeti","Genio","Elementale",""
"Montagna","","","","","","","",""
"Fuoco","","","","","","","",""
"Vulcano","","","","","","","",""
"","","","","","","Sociale","",""
"","","","","","","Fuoco","",""
"","","","","","","Boss","",""
"","","","","","","Interessante","",""
